Year,Zip Code,Closings, Sale Amt Avg ,YoY Sale Amt Avg, Price/ SqFt Avg ,YoY Price/SqFt Avg,Bedrooms Avg,Bathrooms  Avg,Living SqFt Avg,Land SqFt Avg,Acres Avg
2010,98023,635," $256,325.37 ",0.18%, $132.32 ,-6.89%,3.4,2.5,"1,887","32,098",0.7
2011,98023,767," $197,356.21 ",-23.01%, $106.72 ,-19.34%,3.2,2.5,"1,793","70,190",1.6
2012,98023,689," $205,295.64 ",4.02%, $107.68 ,0.90%,3.3,2.6,"1,859","62,093",1.4
2013,98023,884," $233,770.16 ",13.87%, $124.97 ,16.06%,3.2,2.5,"1,807","55,603",1.3
2014,98023,852," $248,079.19 ",6.12%, $134.54 ,7.66%,3.2,2.5,"1,873","61,266",1.4
2015,98023,927," $279,968.65 ",12.85%, $149.73 ,11.29%,3.2,2.5,"1,831","57,730",1.3
2016,98023,"1,018"," $308,866.34 ",10.32%, $163.00 ,8.86%,3.3,2.7,"1,939","56,527",1.4
2017,98023,891," $346,094.12 ",12.05%, $187.21 ,14.85%,3.2,2.5,"1,855","64,882",1.5
2018,98023,826," $389,227.00 ",12.46%, $201.68 ,7.73%,3.2,2.6,"1,875","61,977",1.5
2019,98023,801," $396,044.40 ",1.75%, $210.33 ,4.29%,3.4,2.7,"1,988","74,087",1.7
2005,98024,182," $487,173.26 ",, $185.07 ,,3.3,2.7,"2,531","71,646",1.6
